1. cislo z 1. osudi,2. cislo z 1. osudi,3. cislo z 1. osudi,4. cislo z 1. osudi,5. cislo z 1. osudi,1. cislo z 2. osudi,2. cislo z 2. osudi
49,35,6,39,12,9,4
2,9,36,47,23,9,2
24,35,28,48,25,8,4
6,45,47,38,29,2,3
26,21,24,5,8,5,4
30,24,31,1,47,7,9
26,25,14,21,16,10,8
24,7,19,18,16,1,6
29,45,4,30,31,7,1
19,2,11,1,47,7,2
24,20,49,44,15,9,7
42,15,24,9,4,8,9
31,22,50,43,44,9,1
16,30,14,21,37,8,4
43,47,18,37,21,3,1
1,11,17,38,6,8,4
19,3,42,10,9,1,7
29,15,7,19,5,8,3
27,33,20,46,35,9,5
50,47,38,26,8,3,7
10,35,12,36,43,5,2
8,20,7,38,35,9,5
42,40,41,8,23,10,2
45,41,20,37,27,1,7
38,18,26,25,35,6,5
50,1,48,15,34,10,6
36,31,40,45,42,7,9
47,32,45,49,31,9,7
46,8,30,3,48,1,3
6,41,38,44,11,9,10
4,49,20,21,2,9,10
20,44,42,7,35,7,3
19,18,15,41,42,6,4
35,10,46,18,32,10,3
29,21,24,30,50,1,5
22,33,21,47,3,9,2
21,48,17,49,41,8,4
34,21,24,47,26,6,4
15,19,20,45,49,8,7
44,39,8,12,13,4,9
44,9,6,43,31,6,9
34,2,30,45,35,1,2
17,40,31,3,34,2,1
49,39,14,23,20,10,4
24,30,39,10,19,4,2
3,24,12,37,38,3,7
31,2,30,45,3,8,6
8,14,30,23,45,1,9
25,31,49,38,50,5,10
22,35,12,20,21,4,10
28,45,7,34,12,6,3
35,41,6,30,27,5,4
4,25,49,34,14,9,4
49,1,45,32,23,10,5
5,29,48,20,12,7,9
39,12,1,23,7,4,3
44,7,22,16,36,3,4
30,49,2,6,32,4,1
47,39,45,13,2,4,6
38,12,22,24,29,5,6
35,36,41,19,15,5,10
17,1,39,29,42,7,8
30,37,28,14,9,10,3
41,13,34,23,19,3,8
3,41,26,40,21,8,10
43,50,2,8,7,3,2
33,41,1,18,23,6,2
35,13,34,6,15,5,1
21,11,41,6,12,2,1
11,15,36,9,43,9,8
34,49,29,21,27,8,10
15,40,32,45,12,7,10
22,31,36,8,32,6,10
29,39,9,16,17,1,8
7,22,30,48,16,8,2
38,47,33,2,22,9,2
47,34,14,32,16,7,9
12,36,48,34,47,7,5
5,9,6,29,15,4,9
13,21,25,35,34,5,10
7,11,43,19,32,2,8
3,19,43,28,49,3,2
28,24,15,9,4,2,6
35,9,48,27,20,9,5
26,27,49,30,46,2,1
22,41,8,38,11,4,7
5,23,49,38,28,3,9
5,2,45,43,24,10,4
40,7,14,12,42,7,8
1,7,9,46,29,9,10
39,49,15,34,19,7,2
23,17,29,11,1,8,1
11,35,50,44,5,4,10
23,17,21,37,45,9,7
39,33,19,11,24,1,4
12,5,50,47,26,3,2
38,37,5,17,21,4,1
50,20,34,49,18,7,8
25,22,2,30,1,10,5
40,41,27,1,37,7,10
49,13,15,4,41,9,1
4,17,28,50,27,5,8
7,26,42,10,19,9,1
36,43,17,38,46,6,4
22,25,50,8,38,9,8
19,46,10,32,36,6,4
40,41,38,48,46,6,2
30,16,36,43,33,4,8
33,46,3,16,2,10,2
27,18,24,44,15,7,2
35,27,36,38,41,7,5
32,24,3,29,13,1,7
23,40,9,42,34,1,4
26,11,34,6,18,8,5
19,37,3,34,11,8,9
41,44,7,38,50,8,1
1,43,36,3,4,2,3
32,18,23,29,11,3,7
31,28,12,20,19,6,9
6,3,11,14,49,5,1
43,27,34,40,23,5,7
27,7,19,3,29,7,10
42,50,29,15,1,6,3
39,2,33,15,12,9,4
15,37,43,35,26,8,3
49,26,13,50,17,7,1
23,8,20,50,48,8,9
44,49,14,46,11,10,7
30,4,22,47,17,1,8
25,10,5,31,4,4,6
31,8,14,15,20,9,8
14,9,39,37,24,4,9
13,48,42,33,50,3,9
5,43,14,44,39,6,1
21,16,29,19,36,7,1
46,31,39,4,43,4,1
34,8,36,31,45,10,8
42,22,19,20,25,6,4
5,9,20,44,48,4,10
42,14,18,2,23,10,5
20,27,17,14,32,7,3
38,49,22,12,35,10,5
33,34,37,20,39,8,4
46,20,28,32,38,6,8
25,8,6,21,2,6,9
33,38,15,43,34,3,7
44,38,11,23,37,4,8
13,25,6,49,31,2,7
4,44,46,30,43,3,1
21,6,12,34,20,5,4
17,7,37,39,21,5,3
2,5,23,13,15,8,6
8,34,30,48,9,8,5
16,50,8,44,6,10,1
42,17,21,35,3,9,8
43,36,42,7,16,6,8
47,23,21,17,8,6,2
15,41,9,44,27,4,2
5,29,9,2,32,2,4
21,5,29,35,23,7,9
12,27,18,33,41,10,9
42,37,5,10,26,3,10
29,10,32,25,5,7,4
41,4,34,43,19,1,5
17,1,36,49,20,6,9
5,31,49,46,39,9,8
1,38,33,43,8,6,2
46,11,35,31,20,6,10
18,24,39,10,15,11,2
37,49,8,7,35,8,5
28,48,38,10,9,8,12
48,2,26,45,41,12,5
24,41,20,19,36,4,5
5,10,24,2,20,7,4
7,17,35,3,15,3,4
28,18,50,2,42,11,2
41,49,10,27,32,9,1
18,17,5,34,6,1,11
6,22,13,24,30,5,10
49,6,5,39,50,12,10
3,7,50,34,43,10,5
30,13,43,7,47,11,7
2,41,13,45,50,2,3
47,32,22,4,28,2,1
45,26,40,25,47,4,5
29,48,8,41,26,5,3
50,14,39,30,37,4,12
41,27,4,39,22,9,1
49,7,48,5,45,3,8
23,46,21,28,3,12,10
28,30,35,11,50,7,8
45,2,1,23,43,1,9
6,29,10,17,49,5,2
30,13,48,35,24,5,4
50,23,29,10,2,3,10
34,4,24,10,35,8,7
28,16,43,7,36,11,2
10,36,30,6,22,10,8
30,3,26,16,47,2,1
9,19,16,32,11,3,5
23,37,43,24,20,10,9
1,17,19,11,33,7,3
2,7,1,24,25,2,5
26,29,46,50,14,11,10
40,39,47,6,11,8,7
31,49,10,17,12,8,2
36,40,44,26,23,5,10
14,46,38,32,34,2,5
